Rank,Company Name,Ticker Symbol,Index Weight %,Stock Price,Day Change $,Day Change %
233,American International Group,AIG,0.07,78.85,-0.47,-0.59
234,ONEOK,OKE,0.07,68.91,-0.39,-0.56
235,Corteva,CTVA,0.07,63.77,-0.16,-0.25
236,Ametek,AME,0.07,185.32,-1.43,-0.77
237,Copart,CPRT,0.07,44.16,0.00,0.00
238,Entergy,ETR,0.07,95.56,-1.80,-1.85
239,Western Digital,WDC,0.07,123.92,-2.75,-2.17
240,Agilent Technologies,A,0.07,146.29,-0.30,-0.20
241,Diamondback Energy,FANG,0.07,141.30,-3.10,-2.14
242,Public Service Enterprise Group,PEG,0.07,81.82,-1.63,-1.95
243,Occidental Petroleum,OXY,0.07,41.16,-1.14,-2.71
244,Rockwell Automation,ROK,0.06,359.89,-1.64,-0.45
245,Kimberly-Clark,KMB,0.06,121.73,1.11,0.92
246,Crown Castle,CCI,0.06,92.30,-5.30,-5.43
247,Fair Isaac,FICO,0.06,1674.19,-10.90,-0.65
248,Las Vegas Sands,LVS,0.06,58.01,-1.43,-2.41
249,Yum! Brands,YUM,0.06,142.35,-0.63,-0.44
250,Delta Air Lines,DAL,0.06,59.82,-0.63,-1.05
251,Keurig Dr Pepper,KDP,0.06,28.71,-0.52,-1.79
252,Cardinal Health,CAH,0.06,163.45,-0.35,-0.21
253,Vulcan Materials Company,VMC,0.06,291.80,-0.21,-0.07
254,ResMed,RMD,0.06,259.16,-0.06,-0.02
255,WEC Energy Group,WEC,0.06,115.79,-0.89,-0.76
256,Martin Marietta Materials,MLM,0.06,616.52,-0.32,-0.05
257,Carnival,CCL,0.06,28.12,-1.30,-4.41
258,Hershey Company (The),HSY,0.06,181.95,0.50,0.28
259,Xylem Inc.,XYL,0.06,151.46,2.06,1.38
260,Sysco,SYY,0.06,76.93,-1.07,-1.37
261,IQVIA,IQV,0.06,215.78,-1.65,-0.76
262,GE HealthCare,GEHC,0.06,79.04,0.69,0.88
263,Estée Lauder Companies (The),EL,0.06,100.03,-0.43,-0.43
264,Otis Worldwide,OTIS,0.06,91.70,-0.35,-0.38
265,Humana,HUM,0.06,298.53,6.19,2.12
266,Prudential Financial,PRU,0.06,101.76,-0.45,-0.44
267,Consolidated Edison,ED,0.06,99.05,-1.17,-1.17
268,PG&E Corporation,PCG,0.06,16.17,-0.26,-1.61
269,Live Nation Entertainment,LYV,0.06,151.57,-1.60,-1.05
270,Nucor,NUE,0.06,152.32,8.16,5.66
271,DuPont,DD,0.06,82.91,1.53,1.88
272,Microchip Technology,MCHP,0.06,64.24,-0.31,-0.48
273,Hartford (The),HIG,0.06,122.95,-2.03,-1.62
274,Fidelity National Information Services,FIS,0.06,66.17,-0.36,-0.54
275,Wabtec,WAB,0.05,199.50,-0.84,-0.42
276,"EMCOR Group, Inc.",EME,0.05,755.18,0.32,0.04
277,Charter Communications,CHTR,0.05,245.58,0.14,0.06
278,NRG Energy,NRG,0.05,172.97,0.38,0.22
279,CoStar Group,CSGP,0.05,78.83,0.70,0.90
280,Cognizant,CTSH,0.05,68.12,0.07,0.11
281,State Street Corporation,STT,0.05,117.63,0.60,0.51
282,Lennar,LEN,0.05,128.84,0.12,0.09
283,Targa Resources,TRGP,0.05,152.23,-1.75,-1.14
284,Verisk Analytics,VRSK,0.05,234.19,0.51,0.22
285,EQT Corporation,EQT,0.05,52.41,-1.34,-2.49
286,Vici Properties,VICI,0.05,30.47,-0.50,-1.61
287,Hewlett Packard Enterprise,HPE,0.05,24.36,0.18,0.72
288,Raymond James Financial,RJF,0.05,161.54,-0.19,-0.11
289,Ventas,VTR,0.05,70.04,-1.51,-2.11
290,Arch Capital Group,ACGL,0.05,85.29,-0.66,-0.76
291,Supermicro,SMCI,0.05,53.43,1.86,3.61
292,United Airlines Holdings,UAL,0.05,97.83,-0.97,-0.98
293,Ingersoll Rand,IR,0.05,79.39,-0.85,-1.06
294,Extra Space Storage,EXR,0.05,148.08,-1.43,-0.96
295,Willis Towers Watson,WTW,0.05,321.64,-5.23,-1.60
296,Interactive Brokers Group,IBKR,0.05,69.18,-0.31,-0.45
297,Iron Mountain,IRM,0.05,104.09,-2.37,-2.23
298,Kraft Heinz,KHC,0.05,25.56,-0.03,-0.13
299,Archer Daniels Midland,ADM,0.05,61.70,-0.24,-0.40
300,Tractor Supply,TSCO,0.05,55.79,-0.58,-1.03
301,DTE Energy,DTE,0.05,140.29,-1.34,-0.95
302,Mettler Toledo,MTD,0.05,1409.28,-10.43,-0.73
303,Keysight Technologies,KEYS,0.05,168.86,1.09,0.65
304,Kellanova,K,0.05,83.08,-0.05,-0.05
305,Old Dominion,ODFL,0.05,137.23,0.50,0.36
306,M&T Bank,MTB,0.05,181.76,-1.16,-0.64
307,Atmos Energy,ATO,0.05,175.44,-0.91,-0.52
308,Ameren,AEE,0.04,103.63,-1.18,-1.13
309,Expedia Group,EXPE,0.04,225.49,2.99,1.34
310,W. R. Berkley Corporation,WRB,0.04,73.37,-1.89,-2.51
311,Eversource Energy,ES,0.04,75.06,0.35,0.46
312,Fifth Third Bancorp,FITB,0.04,42.12,-0.33,-0.78
313,Kenvue,KVUE,0.04,14.49,-0.59,-3.91
314,Equifax,EFX,0.04,225.98,-3.04,-1.33
315,Brown & Brown,BRO,0.04,83.68,-4.08,-4.65
316,PPL Corporation,PPL,0.04,37.12,-0.34,-0.92
317,"Rollins, Inc.",ROL,0.04,56.39,0.16,0.28
318,Synchrony Financial,SYF,0.04,74.73,-0.23,-0.31
319,Broadridge Financial Solutions,BR,0.04,229.93,-1.99,-0.86
320,Dexcom,DXCM,0.04,68.20,-2.43,-3.44
321,FirstEnergy,FE,0.04,46.26,-0.18,-0.40
322,American Water Works,AWK,0.04,135.30,-2.69,-1.95
323,AvalonBay Communities,AVB,0.04,185.03,-3.34,-1.77
324,HP Inc.,HPQ,0.04,28.09,0.17,0.61
325,First Solar,FSLR,0.04,242.20,-5.49,-2.22
326,CenterPoint Energy,CNP,0.04,39.65,-0.09,-0.24
327,"The Trade Desk, Inc.",TTD,0.04,52.87,-0.74,-1.37
328,General Mills,GIS,0.04,48.42,0.13,0.27
329,Veralto,VLTO,0.04,102.67,-1.45,-1.39
330,International Paper,IP,0.04,47.77,-0.42,-0.87
331,Cboe Global Markets,CBOE,0.04,239.94,1.67,0.70
332,Teledyne Technologies,TDY,0.04,528.99,0.52,0.10
333,Williams-Sonoma,WSM,0.04,202.89,10.02,5.20
334,Dover Corporation,DOV,0.04,178.84,0.88,0.49
335,PTC Inc.,PTC,0.04,203.00,-0.28,-0.14
336,Leidos,LDOS,0.04,189.31,0.20,0.11
337,Expand Energy,EXE,0.04,101.79,-2.09,-2.01
338,Cincinnati Financial,CINF,0.04,154.42,-3.22,-2.04
339,Northern Trust,NTRS,0.04,127.26,1.06,0.84
340,PPG Industries,PPG,0.04,106.19,0.74,0.70
341,Hubbell Incorporated,HUBB,0.04,448.53,14.55,3.35
342,Steel Dynamics,STLD,0.04,162.33,4.30,2.72
343,PulteGroup,PHM,0.04,121.48,1.18,0.98
344,Constellation Brands,STZ,0.04,135.16,-2.80,-2.03
345,Equity Residential,EQR,0.04,61.92,-1.40,-2.20
346,Steris,STE,0.04,240.02,-0.89,-0.37
347,"Tapestry, Inc.",TPR,0.04,114.03,-0.94,-0.82
348,Ulta Beauty,ULTA,0.04,522.43,-0.39,-0.07
349,Teradyne,TER,0.04,146.71,-0.79,-0.54
350,NetApp,NTAP,0.04,116.45,-0.75,-0.64
351,T. Rowe Price,TROW,0.04,104.99,0.08,0.08
352,Jabil,JBL,0.04,214.68,3.45,1.63
353,Insulet Corporation,PODD,0.04,323.15,-2.65,-0.81
354,Verisign,VRSN,0.04,244.26,-2.96,-1.20
355,Dollar General,DG,0.04,102.63,-0.14,-0.14
356,Huntington Bancshares,HBAN,0.04,15.45,-0.20,-1.25
357,Smurfit WestRock,SW,0.04,43.10,-0.30,-0.70
358,Halliburton,HAL,0.04,26.73,-0.07,-0.28
359,Citizens Financial Group,CFG,0.04,51.31,-0.60,-1.16
360,Tyler Technologies,TYL,0.04,511.41,2.35,0.46
361,CMS Energy,CMS,0.04,73.60,-0.99,-1.33
362,Biogen,BIIB,0.04,148.91,-1.52,-1.01
363,LabCorp,LH,0.03,261.19,-14.47,-5.25
364,Edison International,EIX,0.03,56.34,-0.57,-1.00
365,Regions Financial Corporation,RF,0.03,24.27,0.03,0.10
366,Lululemon Athletica,LULU,0.03,179.91,-1.48,-0.82
367,ON Semiconductor,ON,0.03,51.99,-0.69,-1.31
368,Dollar Tree,DLTR,0.03,104.10,1.51,1.47
369,Darden Restaurants,DRI,0.03,182.33,-1.31,-0.71
370,Texas Pacific Land Corporation,TPL,0.03,915.48,-13.92,-1.50
371,Global Payments,GPN,0.03,86.61,-0.18,-0.21
372,SBA Communications,SBAC,0.03,193.00,-4.30,-2.18
373,Church & Dwight,CHD,0.03,85.01,-0.63,-0.73
374,Waters Corporation,WAT,0.03,347.90,-3.85,-1.09
375,Loews Corporation,L,0.03,99.52,-0.54,-0.54
376,NiSource,NI,0.03,43.68,-0.05,-0.13
377,CDW,CDW,0.03,156.69,-2.54,-1.60
378,Devon Energy,DVN,0.03,32.27,-0.66,-2.00
379,West Pharmaceutical Services,WST,0.03,284.70,-2.52,-0.88
380,"NVR, Inc.",NVR,0.03,7432.23,-6.10,-0.08
381,Corpay,CPAY,0.03,287.00,2.76,0.97
382,Ralph Lauren Corporation,RL,0.03,333.96,-3.61,-1.07
383,Zimmer Biomet,ZBH,0.03,101.66,-1.46,-1.41
384,Quest Diagnostics,DGX,0.03,178.66,-1.60,-0.89
385,KeyCorp,KEY,0.03,17.48,-0.13,-0.77
386,Gartner,IT,0.03,255.57,-0.01,-0.00
387,Bunge Global,BG,0.03,96.71,0.29,0.30
388,Amcor,AMCR,0.03,8.35,0.08,0.91
389,Trimble Inc.,TRMB,0.03,80.89,-0.23,-0.29
390,Aptiv,APTV,0.03,87.04,0.93,1.08
391,Jacobs Solutions,J,0.03,158.39,-2.61,-1.62
392,Tyson Foods,TSN,0.03,52.51,0.42,0.81
393,Packaging Corporation of America,PKG,0.03,207.35,0.74,0.36
